dataset,block,seed,batch,rank,eigenvalue
breast,theta,2,1,23,20.773294936347426
breast,theta,2,1,24,19.136025118811848
breast,theta,2,1,25,18.141024041778927
breast,theta,2,1,26,17.221765244078565
breast,theta,2,1,27,16.668755648873915
breast,theta,2,1,28,16.07407760162218
breast,theta,2,1,29,14.910479982127052
breast,theta,2,1,30,14.753034344196232
breast,theta,2,1,31,14.48608310401501
breast,theta,2,1,32,13.681143136160646
breast,theta,2,1,33,13.101517290137398
breast,theta,2,1,34,12.6248917340522
breast,theta,2,1,35,11.983435470279906
breast,theta,2,1,36,11.887353701241405
breast,theta,2,1,37,11.729124702665887
breast,theta,2,1,38,11.325602185494576
breast,theta,2,1,39,10.59441081632819
breast,theta,2,1,40,10.318828168205338
breast,phi,2,1,1,158.06769867996798
breast,phi,2,1,2,108.48477415818203
breast,phi,2,1,3,88.75870428123176
breast,phi,2,1,4,44.456126940161404
breast,phi,2,1,5,40.75874324219484
breast,phi,2,1,6,37.469621850277456
breast,phi,2,1,7,36.795080088933986
breast,phi,2,1,8,34.10358668024779
breast,phi,2,1,9,31.024581238507213
breast,phi,2,1,10,29.520809674094277
breast,phi,2,1,11,27.010342475795376
breast,phi,2,1,12,25.193282345058286
breast,phi,2,1,13,23.519181375989128
breast,phi,2,1,14,21.281862586493446
breast,phi,2,1,15,19.192813932760778
breast,theta,2,2,1,239.91266901031605
breast,theta,2,2,2,102.01933066883156
breast,theta,2,2,3,89.90013091562605
breast,theta,2,2,4,76.94694696433035
breast,theta,2,2,5,73.11126919928475
breast,theta,2,2,6,70.75541562756351
breast,theta,2,2,7,64.9318276109457
breast,theta,2,2,8,56.75564924714131
breast,theta,2,2,9,55.08434598013252
breast,theta,2,2,10,52.175234652736336
breast,theta,2,2,11,47.76579860145809
breast,theta,2,2,12,45.46037857821403
breast,theta,2,2,13,42.1183508205442
breast,theta,2,2,14,37.471482677043824
breast,theta,2,2,15,32.43396639701499
breast,theta,2,2,16,31.213717020798626
breast,theta,2,2,17,29.415336175503143
breast,theta,2,2,18,27.143435173079926
breast,theta,2,2,19,25.727209004397828
breast,theta,2,2,20,25.004470147578292
breast,theta,2,2,21,23.922910391728553
breast,theta,2,2,22,22.78687134733874
breast,theta,2,2,23,21.368995854605014
breast,theta,2,2,24,20.301667456813583
breast,theta,2,2,25,19.337993338100034
breast,theta,2,2,26,18.80086806991624
breast,theta,2,2,27,17.742517835139115
breast,theta,2,2,28,17.023638338058316
breast,theta,2,2,29,16.391115755436804
breast,theta,2,2,30,15.753773048359266
breast,theta,2,2,31,15.154530416756062
breast,theta,2,2,32,14.239614637176505
breast,theta,2,2,33,13.896121256020407
breast,theta,2,2,34,13.54696215265702
breast,theta,2,2,35,12.988694546413054
breast,theta,2,2,36,12.636024575904464
breast,theta,2,2,37,12.097883747344374
breast,theta,2,2,38,11.153497179520665
breast,theta,2,2,39,11.031687535752338
breast,theta,2,2,40,10.793374491223588
breast,phi,2,2,1,153.3308652110764
breast,phi,2,2,2,117.28330399835953
breast,phi,2,2,3,84.3316147183756
